que,ans,type
Capital of Transnistria,The capital of Transnistria is Tiraspol,countryCapital
Capital of Trinidad and Tobago,The capital of Trinidad and Tobago is Port of Spain,countryCapital
Capital of Tristan da Cunha,The capital of Tristan da Cunha is Edinburgh of the Seven Seas,countryCapital
Capital of Tunisia,The capital of Tunisia is Tunis,countryCapital
Capital of Turkey,The capital of Turkey is Ankara,countryCapital
Capital of Turkmenistan,The capital of Turkmenistan is Ashgabat,countryCapital
Capital of Turks and Caicos Islands,The capital of Turks and Caicos Islands is Cockburn Town,countryCapital
Capital of Tuvalu,The capital of Tuvalu is Funafuti,countryCapital
Capital of Uganda,The capital of Uganda is Kampala,countryCapital
Capital of Ukraine,The capital of Ukraine is Kyiv,countryCapital
Capital of United Arab Emirates,The capital of United Arab Emirates is Abu Dhabi,countryCapital
Capital of United Kingdom; England,The capital of United Kingdom; England is London,countryCapital
Capital of United States,"The capital of United States is Washington, D.C.",countryCapital
Capital of United States Virgin Islands,The capital of United States Virgin Islands is Charlotte Amalie,countryCapital
Capital of Uruguay,The capital of Uruguay is Montevideo,countryCapital
Capital of Uzbekistan,The capital of Uzbekistan is Tashkent,countryCapital
Capital of Vanuatu,The capital of Vanuatu is Port Vila,countryCapital
Capital of Vatican City,The capital of Vatican City is Vatican City,countryCapital
Capital of Venezuela,The capital of Venezuela is Caracas,countryCapital
Capital of Vietnam,The capital of Vietnam is Hanoi,countryCapital
Capital of Wales,The capital of Wales is Cardiff,countryCapital
Capital of Wallis and Futuna,The capital of Wallis and Futuna is Mata-Utu,countryCapital
Capital of Western Sahara,The capital of Western Sahara is El Aaiún,countryCapital
Capital of Yemen,The capital of Yemen is Sanaá,countryCapital
Capital of Zambia,The capital of Zambia is Lusaka,countryCapital
Capital of Zimbabwe,The capital of Zimbabwe is Harare,countryCapital
